Brand,Model,Accel,TopSpeed,Range,Efficiency,FastCharge,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Price
Tesla ,Model 3 Long Range Dual Motor,4.6 sec,233 km/h,450 km,161 Wh/km,940 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,D,5,4400000
Volkswagen ,ID.3 Pure,10.0 sec,160 km/h,270 km,167 Wh/km,250 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,C,5,2400000
Polestar ,2,4.7 sec,210 km/h,400 km,181 Wh/km,620 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Liftback,D,5,4515200
BMW ,iX3 ,6.8 sec,180 km/h,360 km,206 Wh/km,560 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,SUV,D,5,5443200
Honda ,e ,9.5 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Hatchback,B,4,2639760
Lucid ,Air ,2.8 sec,250 km/h,610 km,180 Wh/km,620 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,Sedan,F,5,8400000
Volkswagen ,e-Golf ,9.6 sec,150 km/h,190 km,168 Wh/km,220 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,C,5,2552000
Peugeot ,e-208 ,8.1 sec,150 km/h,275 km,164 Wh/km,420 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Hatchback,B,5,2374560
Tesla ,Model 3 Standard Range Plus,5.6 sec,225 km/h,310 km,153 Wh/km,650 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,3710400
Audi ,Q4 e-tron ,6.3 sec,180 km/h,400 km,193 Wh/km,540 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,4400000
Mercedes ,EQC 400 4MATIC,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,Rapid charging possible,All Wheel Drive,Type 2 CCS,SUV,D,5,5558720
Nissan ,Leaf ,7.9 sec,144 km/h,220 km,164 Wh/km,230 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CHAdeMO,Hatchback,C,5,2338720
Hyundai ,Kona Electric 64 kWh,7.9 sec,167 km/h,400 km,160 Wh/km,380 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,SUV,B,5,3263600
BMW ,i4 ,4.0 sec,200 km/h,450 km,178 Wh/km,650 km/h,Rapid charging possible,Rear Wheel Drive,Type 2 CCS,Sedan,D,5,5200000
Hyundai ,IONIQ Electric,9.7 sec,165 km/h,250 km,153 Wh/km,210 km/h,Rapid charging possible,Front Wheel Drive,Type 2 CCS,Liftback,C,5,2756720
